R,B,xF,F,q,N,xD,QR
4.958791153830054,1.8220023365838498,0.6119633763000554,117.46513159854703,1.125968607550704,17.0,0.15690574603900243,1000.0
1.8823360110430336,2.9379456993640063,0.5905449289795779,76.77748070310523,1.0808764006585891,23.0,0.44552503649150343,1000.0
3.7692464720797174,1.8670359133056857,0.42222286612573295,87.38863806391076,1.149815138404328,15.0,0.10620137226306486,1000.0
3.4641032908980263,0.9966006991684957,0.8464011951624466,75.98227370159351,1.120343100658535,21.0,0.6545451609902381,1000.0
2.778275657760242,0.7350111693586417,0.41720829937267057,87.14780981171064,0.9189485701693109,23.0,0.17092147666381696,1000.0
3.593893332454323,2.533401021390762,0.7266713591511638,76.88147701469826,1.130510148062908,21.0,0.5349380328864052,1000.0
2.717545274731326,2.7552589480703626,0.6204831816568432,108.26650930026588,1.0545209493603758,15.0,0.25502459185013104,1000.0
4.8400490721429925,1.7180992361637875,0.9063548376241279,85.15976178212516,0.9245375072069899,21.0,0.6635480583309066,1000.0
3.331611265736087,2.2038755156591474,0.4517500573734531,76.19963188651245,1.1200710252074992,16.0,0.12179205074902556,1000.0
2.7575319211748077,1.5442068145187042,0.6140881776402887,124.52156294020236,1.004953401000624,18.0,0.2908350690372534,1000.0
3.450660589633734,1.4281852162372017,0.3408967274334493,90.8617500571292,0.8191217605599999,16.0,0.08183688493167013,1000.0
4.336542774937391,2.9410334372957028,0.718730738853395,129.07816413053837,1.1022618051090602,24.0,0.40328683604004595,1000.0
2.5400130892435615,1.737012626071114,0.7749635607864442,116.3359308053989,0.8662354687474112,17.0,0.4303186351324319,1000.0
4.903550387466805,1.1921168787310283,0.7027098040372954,106.629680656928,0.981728659871778,23.0,0.31535422179049,1000.0
2.6164205077440315,1.537312400290051,0.5107985254058772,90.17690613848742,1.1976129094069887,16.0,0.17169699412470915,1000.0
3.1864669076405043,2.5152159992185883,0.4547211523277662,111.88094893869518,1.0202328293036174,19.0,0.16416042951746898,1000.0
4.8972336558630625,1.0289840626680915,0.5761762463111746,100.55190511677253,1.0866971397697642,16.0,0.14029718912999448,1000.0
1.0300694551348917,1.7792308825471923,0.6351382806850214,113.91415549054204,0.8685168794992855,15.0,0.4228609016439216,1000.0
4.597162631632464,1.1356195783405338,0.8797151398188539,81.98988183176024,1.0162313477919498,23.0,0.6538066826794772,1000.0
4.540881295259712,0.8419653869081408,0.437650925293853,122.01402685220245,1.0138559689867417,20.0,0.1348058713566007,1000.0
2.7754556571088056,0.6111461529134274,0.3899472222992876,77.47920962989147,1.1256527952753794,24.0,0.159485121610264,1000.0
4.365345485756835,1.8121989079398624,0.5530603731451734,112.17061777139111,1.1219431356771543,16.0,0.13183432706794349,1000.0
1.413966286011049,0.7951106879072192,0.675255677817824,93.59885980644852,0.8060138135955862,18.0,0.5160591583047041,1000.0
1.8717604267046242,2.6060776458334947,0.7403208385432263,103.62546465028228,1.007687391181675,20.0,0.6227109227736399,1000.0
4.865342787096301,1.9098604673685586,0.4329177693766609,91.47396637987643,1.0738536961798983,16.0,0.09540420249490351,1000.0
